id,SalePrice
1461,120129.31638285173
1462,153008.7854064986
1463,181999.66786591779
1464,195952.28499780234
1465,197477.81258720323
1466,171222.84373663162
1467,178212.01779580885
1468,161123.61215957525
1469,193898.47881496898
1470,119925.56963355571
1471,189952.67847808255
1472,97385.92416901977
1473,96173.51867350194
1474,146413.76269308932
1475,113408.51351352438
1476,363558.8497525451
1477,250762.12819425573
1478,294599.1815289544
1479,299293.44565708254
1480,474977.58803628816
1481,325368.5976020464
1482,210850.56526419742
1483,177057.72071004286
1484,162710.84512153693
1485,191473.76554705796
1486,193107.9070899654
1487,339866.02954610134
1488,238341.3353204839
1489,193749.60820502572
1490,231349.06594699793
1491,195044.0155966488
1492,92756.67611514167
1493,189749.58843921273
1494,299951.37928339146
1495,293285.5911212206
1496,235702.0951615432
1497,179388.32508260876
1498,167787.27829460712
1499,162374.42494970988
1500,152697.7749543966
1501,174507.69277533883
1502,145503.650621222
1503,290290.22303373436
1504,242519.03379921542
1505,225593.9126779172
1506,188193.22519878796
1507,245834.5514780434
1508,202873.92776776507
1509,163898.0977788804
1510,143480.39546743748
1511,148092.6730057101
1512,175334.35530234524
1513,152363.35065623088
1514,155109.81990672945
1515,197374.40600365406
1516,157898.11081760877
1517,168347.7479253745
1518,132466.49684443168
1519,209170.43080419497
1520,127540.3085057889
1521,130083.47515553552
1522,178496.13977394527
1523,110130.48034133491
1524,125686.44701638781
1525,120266.19747097132
1526,113488.37444080893
1527,107566.14325085792
1528,137378.38934699463
1529,149722.56499002757
1530,184338.36270192487
1531,105988.75185360062
1532,98505.5794342934
1533,142816.38267748768
1534,127215.27170736785
1535,147673.90202250797
1536,106379.11563719086
1537,64977.58596862494
1538,147236.97205496265
1539,191933.5583751053
1540,94263.45850341642
1541,138707.1051419694
1542,139649.24986487327
1543,189700.53751999213
1544,85068.0084813381
1545,115257.94054333334
1546,135137.91282301547
1547,127884.20576731034
1548,138708.24355731055
1549,119838.49286651284
1550,135618.0232182609
1551,108884.99981547272
1552,136390.98109602084
1553,148289.80774366995
1554,116891.82272110358
1555,160376.90131114126
1556,85485.21858199117
1557,105780.75136395861
1558,97580.47664747847
1559,63552.76802692346
1560,134335.23100407337
1561,129372.72588983367
1562,130057.34828423729
1563,117918.55506134802
1564,155071.55198099834
1565,150955.3407950722
1566,237772.46824719827
1567,76404.0750295784
1568,230818.44131562498
